一,1,1,04E00,pic/一.png
乙,5,2,04E59,pic/乙.png
二,1 1,3,04E8C,pic/二.png
十,1 2,4,05341,pic/十.png
丁,1 2,5,04E01,pic/丁.png
厂,1 3,6,05382,pic/厂.png
七,1 5,7,04E03,pic/七.png
卜,2 4,8,0535C,pic/卜.png
八,3 4,9,0516B,pic/八.png
人,3 4,10,04EBA,pic/人.png
入,3 4,11,05165,pic/入.png
儿,3 5,12,0513F,pic/儿.png
匕,3 5,13,05315,pic/匕.png
几,3 5,14,051E0,pic/几.png
九,3 5,15,04E5D,pic/九.png
刁,5 1,16,05201,pic/刁.png
了,5 2,17,04E86,pic/了.png
刀,5 3,18,05200,pic/刀.png
力,5 3,19,0529B,pic/力.png
乃,5 3,20,04E43,pic/乃.png
又,5 4,21,053C8,pic/又.png
三,1 1 1,22,04E09,pic/三.png
干,1 1 2,23,05E72,pic/干.png
于,1 1 2,24,04E8E,pic/于.png
亏,1 1 5,25,04E8F,pic/亏.png
工,1 2 1,26,05DE5,pic/工.png
土,1 2 1,27,0571F,pic/土.png
士,1 2 1,28,058EB,pic/士.png
才,1 2 3,29,0624D,pic/才.png
下,1 2 4,30,04E0B,pic/下.png
寸,1 2 4,31,05BF8,pic/寸.png
大,1 3 4,32,05927,pic/大.png
丈,1 3 4,33,04E08,pic/丈.png
与,1 5 1,34,04E0E,pic/与.png
万,1 5 3,35,04E07,pic/万.png
上,2 1 1,36,04E0A,pic/上.png
小,2 3 4,37,05C0F,pic/小.png
口,2 5 1,38,053E3,pic/口.png
山,2 5 2,39,05C71,pic/山.png
巾,2 5 2,40,05DFE,pic/巾.png
千,3 1 2,41,05343,pic/千.png
乞,3 1 5,42,04E5E,pic/乞.png
川,3 2 2,43,05DDD,pic/川.png
亿,3 2 5,44,04EBF,pic/亿.png
个,3 4 2,45,04E2A,pic/个.png
夕,3 5 4,46,05915,pic/夕.png
久,3 5 4,47,04E45,pic/久.png
么,3 5 4,48,04E48,pic/么.png
勺,3 5 4,49,052FA,pic/勺.png
凡,3 5 4,50,051E1,pic/凡.png
丸,3 5 4,51,04E38,pic/丸.png
及,3 5 4,52,053CA,pic/及.png
广,4 1 3,53,05E7F,pic/广.png
亡,4 1 5,54,04EA1,pic/亡.png
门,4 2 5,55,095E8,pic/门.png
丫,4 3 2,56,04E2B,pic/丫.png
义,4 3 4,57,04E49,pic/义.png
之,4 5 4,58,04E4B,pic/之.png
尸,5 1 3,59,05C38,pic/尸.png
己,5 1 5,60,05DF1,pic/己.png
已,5 1 5,61,05DF2,pic/已.png
巳,5 1 5,62,05DF3,pic/巳.png
弓,5 1 5,63,05F13,pic/弓.png
子,5 2 1,64,05B50,pic/子.png
卫,5 2 1,65,0536B,pic/卫.png
也,5 2 5,66,04E5F,pic/也.png
女,5 3 1,67,05973,pic/女.png
刃,5 3 4,68,05203,pic/刃.png
飞,5 3 4,69,098DE,pic/飞.png
习,5 4 1,70,04E60,pic/习.png
叉,5 4 4,71,053C9,pic/叉.png
马,5 5 1,72,09A6C,pic/马.png
乡,5 5 3,73,04E61,pic/乡.png
丰,1 1 1 2,74,04E30,pic/丰.png
王,1 1 2 1,75,0738B,pic/王.png
开,1 1 3 2,76,05F00,pic/开.png
井,1 1 3 2,77,04E95,pic/井.png
天,1 1 3 4,78,05929,pic/天.png
夫,1 1 3 4,79,0592B,pic/夫.png
元,1 1 3 5,80,05143,pic/元.png
无,1 1 3 5,81,065E0,pic/无.png
云,1 1 5 4,82,04E91,pic/云.png
专,1 1 5 4,83,04E13,pic/专.png
丐,1 2 1 5,84,04E10,pic/丐.png
扎,1 2 1 5,85,0624E,pic/扎.png
艺,1 2 2 5,86,0827A,pic/艺.png
木,1 2 3 4,87,06728,pic/木.png
五,1 2 5 1,88,04E94,pic/五.png
支,1 2 5 4,89,0652F,pic/支.png
厅,1 3 1 2,90,05385,pic/厅.png
不,1 3 2 4,91,04E0D,pic/不.png
犬,1 3 4 4,92,072AC,pic/犬.png
太,1 3 4 4,93,0592A,pic/太.png
区,1 3 4 5,94,0533A,pic/区.png
历,1 3 5 3,95,05386,pic/历.png
歹,1 3 5 4,96,06B79,pic/歹.png
友,1 3 5 4,97,053CB,pic/友.png
尤,1 3 5 4,98,05C24,pic/尤.png
匹,1 3 5 5,99,05339,pic/匹.png
车,1 5 1 2,100,08F66,pic/车.png
巨,1 5 1 5,101,05DE8,pic/巨.png
牙,1 5 2 3,102,07259,pic/牙.png
屯,1 5 2 5,103,05C6F,pic/屯.png
戈,1 5 3 4,104,06208,pic/戈.png
比,1 5 3 5,105,06BD4,pic/比.png
互,1 5 5 1,106,04E92,pic/互.png
切,1 5 5 3,107,05207,pic/切.png
瓦,1 5 5 4,108,074E6,pic/瓦.png
止,2 1 2 1,109,06B62,pic/止.png
少,2 3 4 3,110,05C11,pic/少.png
曰,2 5 1 1,111,066F0,pic/曰.png
日,2 5 1 1,112,065E5,pic/日.png
中,2 5 1 2,113,04E2D,pic/中.png
贝,2 5 3 4,114,08D1D,pic/贝.png
冈,2 5 3 4,115,05188,pic/冈.png
内,2 5 3 4,116,05185,pic/内.png
水,2 5 3 4,117,06C34,pic/水.png
见,2 5 3 5,118,089C1,pic/见.png
午,3 1 1 2,119,05348,pic/午.png
牛,3 1 1 2,120,0725B,pic/牛.png
手,3 1 1 2,121,0624B,pic/手.png
气,3 1 1 5,122,06C14,pic/气.png
毛,3 1 1 5,123,06BDB,pic/毛.png
壬,3 1 2 1,124,058EC,pic/壬.png
升,3 1 3 2,125,05347,pic/升.png
夭,3 1 3 4,126,0592D,pic/夭.png
长,3 1 5 4,127,0957F,pic/长.png
仁,3 2 1 1,128,04EC1,pic/仁.png
什,3 2 1 2,129,04EC0,pic/什.png
片,3 2 1 5,130,07247,pic/片.png
仆,3 2 2 4,131,04EC6,pic/仆.png
化,3 2 3 5,132,05316,pic/化.png
仇,3 2 3 5,133,04EC7,pic/仇.png
币,3 2 5 2,134,05E01,pic/币.png
仍,3 2 5 3,135,04ECD,pic/仍.png
仅,3 2 5 4,136,04EC5,pic/仅.png
斤,3 3 1 2,137,065A4,pic/斤.png
爪,3 3 2 4,138,0722A,pic/爪.png
反,3 3 5 4,139,053CD,pic/反.png
介,3 4 3 2,140,04ECB,pic/介.png
父,3 4 3 4,141,07236,pic/父.png
从,3 4 3 4,142,04ECE,pic/从.png
仑,3 4 3 5,143,04ED1,pic/仑.png
今,3 4 4 5,144,04ECA,pic/今.png
凶,3 4 5 2,145,051F6,pic/凶.png
分,3 4 5 3,146,05206,pic/分.png
乏,3 4 5 4,147,04E4F,pic/乏.png
公,3 4 5 4,148,0516C,pic/公.png
仓,3 4 5 5,149,04ED3,pic/仓.png
月,3 5 1 1,150,06708,pic/月.png
氏,3 5 1 5,151,06C0F,pic/氏.png
勿,3 5 3 3,152,052FF,pic/勿.png
欠,3 5 3 4,153,06B20,pic/欠.png
风,3 5 3 4,154,098CE,pic/风.png
丹,3 5 4 1,155,04E39,pic/丹.png
匀,3 5 4 1,156,05300,pic/匀.png
乌,3 5 5 1,157,04E4C,pic/乌.png
勾,3 5 5 4,158,052FE,pic/勾.png
凤,3 5 5 4,159,051E4,pic/凤.png
六,4 1 3 4,160,0516D,pic/六.png
文,4 1 3 4,161,06587,pic/文.png
亢,4 1 3 5,162,04EA2,pic/亢.png
方,4 1 5 3,163,065B9,pic/方.png
火,4 3 3 4,164,0706B,pic/火.png
为,4 3 5 4,165,04E3A,pic/为.png
斗,4 4 1 2,166,06597,pic/斗.png
忆,4 4 2 5,167,05FC6,pic/忆.png
计,4 5 1 2,168,08BA1,pic/计.png
订,4 5 1 2,169,08BA2,pic/订.png
户,4 5 1 3,170,06237,pic/户.png
认,4 5 3 4,171,08BA4,pic/认.png
冗,4 5 3 5,172,05197,pic/冗.png
讥,4 5 3 5,173,08BA5,pic/讥.png
心,4 5 4 4,174,05FC3,pic/心.png
尺,5 1 3 4,175,05C3A,pic/尺.png
引,5 1 5 2,176,05F15,pic/引.png
丑,5 2 1 1,177,04E11,pic/丑.png
巴,5 2 1 5,178,05DF4,pic/巴.png
孔,5 2 1 5,179,05B54,pic/孔.png
队,5 2 3 4,180,0961F,pic/队.png
办,5 3 4 4,181,0529E,pic/办.png
以,5 4 3 4,182,04EE5,pic/以.png
允,5 4 3 5,183,05141,pic/允.png
予,5 4 5 2,184,04E88,pic/予.png
邓,5 4 5 2,185,09093,pic/邓.png
劝,5 4 5 3,186,0529D,pic/劝.png
双,5 4 5 4,187,053CC,pic/双.png
书,5 5 2 4,188,04E66,pic/书.png
幻,5 5 4 5,189,05E7B,pic/幻.png
玉,1 1 2 1 4,190,07389,pic/玉.png
刊,1 1 2 2 2,191,0520A,pic/刊.png
未,1 1 2 3 4,192,0672A,pic/未.png
末,1 1 2 3 4,193,0672B,pic/末.png
示,1 1 2 3 4,194,0793A,pic/示.png
击,1 1 2 5 2,195,051FB,pic/击.png
打,1 2 1 1 2,196,06253,pic/打.png
巧,1 2 1 1 5,197,05DE7,pic/巧.png
正,1 2 1 2 1,198,06B63,pic/正.png
扑,1 2 1 2 4,199,06251,pic/扑.png
卉,1 2 1 3 2,200,05349,pic/卉.png